,log2_count_plus1
TCGA-BR-6457-01A,14.573292149952245
TCGA-BR-6457-11A,14.99536968380961
TCGA-RD-A7BT-01A,13.26620091249896
TCGA-CD-8530-01A,15.388757284216586
TCGA-HU-A4H4-01A,15.325164889489056
TCGA-FP-A4BF-01A,10.427312844134963
TCGA-CG-5724-01A,10.410451351503994
TCGA-F1-6874-01A,17.15941805882125
TCGA-D7-6820-01A,15.351387882712327
TCGA-CG-5728-11A,15.101647450030766
TCGA-HU-A4G8-01A,12.938844457466171
TCGA-FP-7735-01A,14.194987642548831
TCGA-CG-4477-01A,13.622051819456376
TCGA-RD-A8MV-01A,16.736124422619273
TCGA-D7-A6EX-01A,5.754887502163468
TCGA-HU-A4H6-01A,16.482477112148363
TCGA-VQ-A8PC-01A,15.288000889707574
TCGA-BR-A4CS-01A,14.094490108144308
TCGA-CD-5803-01A,16.797699517673767
TCGA-BR-A4IV-01A,12.641600215834355
TCGA-CD-A4MJ-01A,13.31840158362059
TCGA-BR-7703-11A,17.894622400913388
TCGA-FP-A9TM-01A,16.363518805857524
TCGA-CD-8524-01A,15.376057540848532
TCGA-VQ-A91K-01A,15.862952089531271
TCGA-VQ-A91E-01A,16.213616880835932
TCGA-CG-5734-01A,14.62759087983244
TCGA-HU-A4HB-01A,14.80302113929134
TCGA-BR-8060-01A,12.937005926516589
TCGA-CD-8528-01A,8.31741261376487
TCGA-D7-8570-01A,17.2875139953421
TCGA-IN-AB1X-11A,7.348728154231077
TCGA-FP-8631-01A,15.987930127532264
TCGA-CG-4444-01A,7.087462841250339
TCGA-BR-7196-01A,17.37468292321265
TCGA-BR-8296-01A,16.936350383433485
TCGA-BR-6803-01A,15.310683778684266
TCGA-CG-4460-01A,14.162548682199924
TCGA-BR-8297-01A,15.746619286400316
TCGA-D7-5577-01A,16.06071703837774
TCGA-CG-5734-11A,14.947180316634237
TCGA-VQ-A8PE-01A,12.156715144224702
TCGA-BR-7851-01A,6.442943495848728
TCGA-BR-7851-11A,12.947819546020028
TCGA-CG-5730-11A,9.14974711950468
TCGA-BR-8679-01A,16.56782242035098
TCGA-VQ-A8P8-01A,15.400846089580208
TCGA-BR-8591-01A,16.280734528340965
TCGA-BR-A4PF-01A,16.54239711724064
TCGA-BR-4187-01A,7.011227255423254
TCGA-RD-A8N2-01A,10.978710459106358
TCGA-BR-7958-01A,16.126664146501394
TCGA-D7-A4YY-01A,17.305304745489472
TCGA-CG-4475-01A,6.339850002884624
TCGA-HF-7134-01A,14.382151155768527
TCGA-BR-8291-01A,16.546125774118156
TCGA-D7-A4YX-01A,17.54960419947592
TCGA-D7-A4YU-01A,9.152284842306582
TCGA-R5-A7O7-01A,14.64863845323432
TCGA-VQ-A8PJ-01A,18.75333755206879
TCGA-F1-6177-01A,14.700168753874404
TCGA-BR-A4QM-01A,12.940497134458203
TCGA-CG-5723-01A,9.46352437327118
TCGA-BR-A4J6-01A,14.387007583887224
TCGA-HU-8610-01A,15.89744370628843
TCGA-HU-A4GC-11A,8.129283016944967
TCGA-BR-4279-01A,15.815058012275212
TCGA-HU-A4GC-01A,16.841306349561975
TCGA-IN-A7NU-01A,13.182083929510725
TCGA-BR-8690-01A,4.906890595608519
TCGA-BR-6452-01A,15.54318289887275
TCGA-VQ-A91D-01A,14.328254173412295
TCGA-HU-A4G6-01A,14.556026992724677
TCGA-VQ-A91U-01A,12.714460188456028
TCGA-HU-A4H3-01A,8.43879185257826
TCGA-CG-4466-01A,11.41679752760606
TCGA-HU-A4G2-01A,17.742322595457733
TCGA-CG-4441-01A,15.787162866188416
TCGA-RD-A8N1-01A,16.74108508936974
TCGA-D7-A4YV-01A,14.016982347533649
TCGA-VQ-A91A-01A,12.12605911607068
TCGA-FP-A4BE-01A,17.456980003503556
TCGA-VQ-AA68-01A,13.384648862052408
TCGA-B7-A5TK-01A,15.138551799210632
TCGA-VQ-A923-01A,17.45450815051132
TCGA-EQ-8122-01A,11.81977993183848
TCGA-CD-8535-01A,5.523561956057013
TCGA-D7-A74A-01A,16.854186603312613
TCGA-VQ-A8PO-01A,10.41574176829009
TCGA-VQ-AA6B-01A,4.0
TCGA-D7-6518-01A,10.417852514885896
TCGA-B7-A5TJ-01A,14.4189067312579
TCGA-HU-A4GY-11A,4.906890595608519
TCGA-BR-6852-11A,16.980608198858253
TCGA-BR-6852-01A,11.491853096329674
TCGA-BR-4368-01A,13.93691393843731
TCGA-CD-8529-01A,14.7123657844479
TCGA-FP-7735-11A,7.658211482751795
TCGA-BR-8678-01A,2.807354922057604
TCGA-BR-8485-01A,12.930552554336137
TCGA-IN-AB1X-01A,14.209301046034142
TCGA-D7-A6EZ-01A,16.704511595751498
TCGA-BR-A4J2-01A,16.10201669331416
TCGA-BR-A4J8-01A,15.403644529054452
TCGA-CG-4469-01A,13.801607326314375
TCGA-IN-A6RO-01A,9.749869427396844
TCGA-F1-6875-01A,12.50382573799575
TCGA-D7-6528-01A,12.147840893672337
TCGA-CD-8525-01A,11.556026992724677
TCGA-HU-A4HB-11A,9.276124405274238
TCGA-D7-A747-01A,5.643856189774724
TCGA-BR-A4J7-01A,12.409390936137704
TCGA-VQ-A928-01A,14.008341077239647
TCGA-BR-A4J5-01A,13.246146774635864
TCGA-HU-8604-01A,3.321928094887362
TCGA-FP-7829-01A,11.034111146096592
TCGA-BR-8363-01A,13.264882379239577
TCGA-BR-8058-01A,17.342291736702983
TCGA-BR-8364-01A,16.926782433124878
TCGA-BR-7715-11A,15.17718592208056
TCGA-BR-8384-01A,14.27786854617684
TCGA-R5-A805-01A,16.516469513743708
TCGA-RD-A8N5-01A,14.61321392888395
TCGA-D7-6815-01A,13.121695390556573
TCGA-CG-5721-11A,15.615141070031584
TCGA-VQ-A8P3-01A,7.906890595608519
TCGA-IN-A7NT-01A,4.169925001442312
TCGA-FP-8099-01A,15.578579079174451
TCGA-BR-6566-01A,10.985130373466898
TCGA-BR-8372-01A,9.06339508128851
TCGA-BR-8373-01A,8.731319031025064
TCGA-CD-8534-01A,13.647008638441648
TCGA-BR-8687-01A,17.06653071273085
TCGA-FP-7829-11A,4.954196310386875
TCGA-D7-6521-01A,14.786933229094275
TCGA-B7-5818-01A,13.179909090014934
TCGA-MX-A5UJ-01A,14.29870699562104
TCGA-F1-A72C-01A,16.383906752309382
TCGA-BR-4253-01A,16.7796552407779
TCGA-CG-4437-01A,14.366185588928143
TCGA-VQ-AA69-01A,11.992230264965889
TCGA-BR-4363-01A,17.844313461203296
TCGA-BR-8366-01A,16.397691343088717
TCGA-BR-7715-01A,13.122827994807666
TCGA-BR-8368-01A,11.428883552010191
TCGA-D7-8575-01A,17.55803200383862
TCGA-VQ-A8PB-01A,10.84862294042934
TCGA-CD-A4MG-01A,14.684474692716378
TCGA-BR-7957-01A,10.969386521342283
TCGA-HU-A4GJ-01A,15.478548446573452
TCGA-RD-A8MW-01A,6.303780748177103
TCGA-CG-5725-01A,8.31741261376487
TCGA-VQ-A8E7-01B,11.20212382383046
TCGA-BR-6802-01A,13.186423797538945
TCGA-CG-4301-01A,15.582994594886756
TCGA-D7-8579-01A,14.197523878257789
TCGA-CG-5720-11A,15.558301121521517
TCGA-D7-6525-01A,10.98299357469431
TCGA-VQ-A8DT-01A,16.734960948151226
TCGA-HU-A4GX-01A,14.601828810690124
TCGA-BR-A44U-01A,6.169925001442312
TCGA-VQ-A927-01A,16.724060808151368
TCGA-IN-7806-11A,3.0
TCGA-D7-6520-01A,9.216745858195306
TCGA-VQ-AA6I-01A,17.154254446204188
TCGA-VQ-A91V-01A,15.37072145793107
TCGA-D7-8578-01A,13.304066063127284
TCGA-VQ-A91X-01A,10.366322214245816
TCGA-BR-A4J9-01A,11.665780028329484
TCGA-BR-4366-01A,15.600377553107844
TCGA-BR-8371-01A,13.226261653315504
TCGA-VQ-A8PK-01A,14.264222660437946
TCGA-VQ-A8PH-01A,11.698704666770343
TCGA-VQ-AA6D-01A,13.184410482249875
TCGA-CG-5721-01A,8.873444112515376
TCGA-BR-8365-01A,14.312102985961063
TCGA-HF-7133-01A,16.022151045686616
TCGA-HU-A4GY-01A,12.552909206533863
TCGA-KB-A93J-01A,17.722387306385432
TCGA-HF-7136-01A,11.194141238863136
TCGA-B7-A5TI-01A,15.912819182729674
TCGA-D7-A4YT-01A,13.550746785383245
TCGA-BR-8295-01A,15.05697633617822
TCGA-CD-8527-01A,10.757390009366638
TCGA-BR-6456-01A,10.838416075797335
TCGA-CD-A4MH-01A,12.078484417411447
TCGA-VQ-A8P5-01A,14.235415935602528
TCGA-KB-A6F7-01A,16.109218521446945
TCGA-RD-A8N0-01A,16.202563882795864
TCGA-BR-8060-11A,15.077441630925218
TCGA-BR-A453-01A,9.489847960439295
TCGA-RD-A8N4-01A,9.774787059601174
TCGA-IN-A6RJ-01A,10.10459875356437
TCGA-CG-5716-01A,16.895385939898507
TCGA-EQ-A4SO-01A,17.558114239567935
TCGA-BR-7703-01A,14.485074563698612
TCGA-BR-7704-01A,13.545447181678094
TCGA-HF-A5NB-01A,13.967136177662043
TCGA-BR-4370-01A,11.926295994781112
TCGA-BR-7704-11A,15.74800935563
TCGA-CG-4442-01A,15.15315615457123
TCGA-CD-5804-01A,15.692942359312008
TCGA-VQ-A94U-01A,14.8318515169955
TCGA-D7-5578-01A,11.965784284662089
TCGA-FP-8210-01A,13.387882699306424
TCGA-BR-A4QL-01A,8.294620748891626
