sample	sample_type	expr
TCGA-BR-6457-01A	Primary Tumor	2.745557405367559
TCGA-BR-6457-11A	Solid Tissue Normal	2.772299285595137
TCGA-RD-A7BT-01A	Primary Tumor	2.657893167066572
TCGA-CD-8530-01A	Primary Tumor	2.7965955682958157
TCGA-HU-A4H4-01A	Primary Tumor	2.7927077755396055
TCGA-FP-A4BF-01A	Primary Tumor	2.436006353416049
TCGA-CG-5724-01A	Primary Tumor	2.434529720629204
TCGA-F1-6874-01A	Primary Tumor	2.899189327440594
TCGA-D7-6820-01A	Primary Tumor	2.7943127795334703
TCGA-CG-5728-11A	Solid Tissue Normal	2.778921592844328
TCGA-HU-A4G8-01A	Primary Tumor	2.6346795078840097
TCGA-FP-7735-01A	Primary Tumor	2.7209656131106983
TCGA-CG-4477-01A	Primary Tumor	2.682530787802498
TCGA-RD-A8MV-01A	Primary Tumor	2.875603487547594
TCGA-D7-A6EX-01A	Primary Tumor	1.9102663172636334
TCGA-HU-A4H6-01A	Primary Tumor	2.861199071408605
TCGA-VQ-A8PC-01A	Primary Tumor	2.7904286949916113
TCGA-BR-A4CS-01A	Primary Tumor	2.714329783730669
TCGA-CD-5803-01A	Primary Tumor	2.8790692083656304
TCGA-BR-A4IV-01A	Primary Tumor	2.613123963410531
TCGA-CD-A4MJ-01A	Primary Tumor	2.661545534046838
TCGA-BR-7703-11A	Solid Tissue Normal	2.9388773525273244
TCGA-FP-A9TM-01A	Primary Tumor	2.8543713848820564
TCGA-CD-8524-01A	Primary Tumor	2.7958203620831847
TCGA-VQ-A91K-01A	Primary Tumor	2.8251190315247436
TCGA-VQ-A91E-01A	Primary Tumor	2.8457007497251605
TCGA-CG-5734-01A	Primary Tumor	2.7490379981857367
TCGA-HU-A4HB-01A	Primary Tumor	2.7602011331019147
TCGA-BR-8060-01A	Primary Tumor	2.6345475993734584
TCGA-CD-8528-01A	Primary Tumor	2.2318849736060584
TCGA-D7-8570-01A	Primary Tumor	2.906218531641485
TCGA-IN-AB1X-11A	Solid Tissue Normal	2.1221092104028196
TCGA-FP-8631-01A	Primary Tumor	2.832503099394077
TCGA-CG-4444-01A	Primary Tumor	2.0903150652260885
TCGA-BR-7196-01A	Primary Tumor	2.9109737890704324
TCGA-BR-8296-01A	Primary Tumor	2.8868294013438054
TCGA-BR-6803-01A	Primary Tumor	2.791820339646493
TCGA-CG-4460-01A	Primary Tumor	2.7188284849624536
TCGA-BR-8297-01A	Primary Tumor	2.8181964042521814
TCGA-D7-5577-01A	Primary Tumor	2.836778571565846
TCGA-CG-5734-11A	Solid Tissue Normal	2.769282030946797
TCGA-VQ-A8PE-01A	Primary Tumor	2.576932285638168
TCGA-BR-7851-01A	Primary Tumor	2.0072664017660915
TCGA-BR-7851-11A	Solid Tissue Normal	2.635323191105683
TCGA-CG-5730-11A	Solid Tissue Normal	2.317448790842915
TCGA-BR-8679-01A	Primary Tumor	2.866068957144827
TCGA-VQ-A8P8-01A	Primary Tumor	2.797332924327453
TCGA-BR-8591-01A	Primary Tumor	2.8495922698996337
TCGA-BR-A4PF-01A	Primary Tumor	2.8646206433553054
TCGA-BR-4187-01A	Primary Tumor	2.080843964752632
TCGA-RD-A8N2-01A	Primary Tumor	2.483130945750538
TCGA-BR-7958-01A	Primary Tumor	2.8406365558650024
TCGA-D7-A4YY-01A	Primary Tumor	2.907190894643916
TCGA-CG-4475-01A	Primary Tumor	1.9933184068433132
TCGA-HF-7134-01A	Primary Tumor	2.7332078213820887
TCGA-BR-8291-01A	Primary Tumor	2.8648331719307087
TCGA-D7-A4YX-01A	Primary Tumor	2.920448451870332
TCGA-D7-A4YU-01A	Primary Tumor	2.3176987877712905
TCGA-R5-A7O7-01A	Primary Tumor	2.7503839134081263
TCGA-VQ-A8PJ-01A	Primary Tumor	2.9833224670480996
TCGA-F1-6177-01A	Primary Tumor	2.7536714609509167
TCGA-BR-A4QM-01A	Primary Tumor	2.6347980671396876
TCGA-CG-5723-01A	Primary Tumor	2.3478953400570997
TCGA-BR-A4J6-01A	Primary Tumor	2.733523489951393
TCGA-HU-8610-01A	Primary Tumor	2.8271623505051497
TCGA-HU-A4GC-11A	Solid Tissue Normal	2.211487161068103
TCGA-BR-4279-01A	Primary Tumor	2.8222747952175165
TCGA-HU-A4GC-01A	Primary Tumor	2.881516350343288
TCGA-IN-A7NU-01A	Primary Tumor	2.6519794728949466
TCGA-BR-8690-01A	Primary Tumor	1.776119567010617
TCGA-BR-6452-01A	Primary Tumor	2.8059741075314073
TCGA-VQ-A91D-01A	Primary Tumor	2.7296978033856636
TCGA-HU-A4G6-01A	Primary Tumor	2.7444481514890047
TCGA-VQ-A91U-01A	Primary Tumor	2.618450764406517
TCGA-HU-A4H3-01A	Primary Tumor	2.2448279902486457
TCGA-CG-4466-01A	Primary Tumor	2.519050195237981
TCGA-HU-A4G2-01A	Primary Tumor	2.930784206988551
TCGA-CG-4441-01A	Primary Tumor	2.8206144792166317
TCGA-RD-A8N1-01A	Primary Tumor	2.8758831412661947
TCGA-D7-A4YV-01A	Primary Tumor	2.709181717198595
TCGA-VQ-A91A-01A	Primary Tumor	2.574599499779823
TCGA-FP-A4BE-01A	Primary Tumor	2.9154426189146716
TCGA-VQ-AA68-01A	Primary Tumor	2.6661615866987978
TCGA-B7-A5TK-01A	Primary Tumor	2.78121093138177
TCGA-VQ-A923-01A	Primary Tumor	2.915308684840509
TCGA-EQ-8122-01A	Primary Tumor	2.550989285341948
TCGA-CD-8535-01A	Primary Tumor	1.8754205390430196
TCGA-D7-A74A-01A	Primary Tumor	2.882238024327545
TCGA-VQ-A8PO-01A	Primary Tumor	2.434993259761906
TCGA-VQ-AA6B-01A	Primary Tumor	1.6094379124341003
TCGA-D7-6518-01A	Primary Tumor	2.435178140563031
TCGA-B7-A5TJ-01A	Primary Tumor	2.735594466222085
TCGA-HU-A4GY-11A	Solid Tissue Normal	1.776119567010617
TCGA-BR-6852-11A	Solid Tissue Normal	2.889293854881733
TCGA-BR-6852-01A	Primary Tumor	2.5250766795317743
TCGA-BR-4368-01A	Primary Tumor	2.7038355946751715
TCGA-CD-8529-01A	Primary Tumor	2.7544480319195266
TCGA-FP-7735-11A	Solid Tissue Normal	2.158508175003731
TCGA-BR-8678-01A	Primary Tumor	1.3369347018590294
TCGA-BR-8485-01A	Primary Tumor	2.6340844535043835
TCGA-IN-AB1X-01A	Primary Tumor	2.721907151634379
TCGA-D7-A6EZ-01A	Primary Tumor	2.87381949951557
TCGA-BR-A4J2-01A	Primary Tumor	2.8391963918363254
TCGA-BR-A4J8-01A	Primary Tumor	2.797503537522675
TCGA-CG-4469-01A	Primary Tumor	2.694735778002526
TCGA-IN-A6RO-01A	Primary Tumor	2.3748936082112393
TCGA-F1-6875-01A	Primary Tumor	2.6029730332972743
TCGA-D7-6528-01A	Primary Tumor	2.5762575545477624
TCGA-CD-8525-01A	Primary Tumor	2.530200788764325
TCGA-HU-A4HB-11A	Solid Tissue Normal	2.329823185565387
TCGA-D7-A747-01A	Primary Tumor	1.8936925463895653
TCGA-BR-A4J7-01A	Primary Tumor	2.595955277629595
TCGA-VQ-A928-01A	Primary Tumor	2.7086061183675456
TCGA-BR-A4J5-01A	Primary Tumor	2.6564864683695673
TCGA-HU-8604-01A	Primary Tumor	1.463701620946613
TCGA-FP-7829-01A	Primary Tumor	2.4877452127615407
TCGA-BR-8363-01A	Primary Tumor	2.657800739222397
TCGA-BR-8058-01A	Primary Tumor	2.909209417402422
TCGA-BR-8364-01A	Primary Tumor	2.8862958199311297
TCGA-BR-7715-11A	Solid Tissue Normal	2.783601973270359
TCGA-BR-8384-01A	Primary Tumor	2.72640528095706
TCGA-R5-A805-01A	Primary Tumor	2.8631415534294007
TCGA-RD-A8N5-01A	Primary Tumor	2.748117602437199
TCGA-D7-6815-01A	Primary Tumor	2.647712295009984
TCGA-CG-5721-11A	Solid Tissue Normal	2.8103143922930283
TCGA-VQ-A8P3-01A	Primary Tumor	2.186825201406801
TCGA-IN-A7NT-01A	Primary Tumor	1.642858181924269
TCGA-FP-8099-01A	Primary Tumor	2.808111445140435
TCGA-BR-6566-01A	Primary Tumor	2.483666745880323
TCGA-BR-8372-01A	Primary Tumor	2.3089045909664114
TCGA-BR-8373-01A	Primary Tumor	2.2753494503219667
TCGA-CD-8534-01A	Primary Tumor	2.684236126111489
TCGA-BR-8687-01A	Primary Tumor	2.894061094623578
TCGA-FP-7829-11A	Solid Tissue Normal	1.7840962332268822
TCGA-D7-6521-01A	Primary Tumor	2.7591825870539965
TCGA-B7-5818-01A	Primary Tumor	2.651826109942029
TCGA-MX-A5UJ-01A	Primary Tumor	2.727768314737083
TCGA-F1-A72C-01A	Primary Tumor	2.8555448789446536
TCGA-BR-4253-01A	Primary Tumor	2.8780548396153067
TCGA-CG-4437-01A	Primary Tumor	2.732169354267088
TCGA-VQ-AA69-01A	Primary Tumor	2.5643515068587734
TCGA-BR-4363-01A	Primary Tumor	2.936211195235809
TCGA-BR-8366-01A	Primary Tumor	2.8563375159858406
TCGA-BR-7715-01A	Primary Tumor	2.64779249492954
TCGA-BR-8368-01A	Primary Tumor	2.520023082664065
TCGA-D7-8575-01A	Primary Tumor	2.920902687460087
TCGA-VQ-A8PB-01A	Primary Tumor	2.472211653269813
TCGA-CD-A4MG-01A	Primary Tumor	2.752671350021324
TCGA-BR-7957-01A	Primary Tumor	2.4823522669066356
TCGA-HU-A4GJ-01A	Primary Tumor	2.8020594409038684
TCGA-RD-A8MW-01A	Primary Tumor	1.988392124794075
TCGA-CG-5725-01A	Primary Tumor	2.2318849736060584
TCGA-VQ-A8E7-01B	Primary Tumor	2.501610020508893
TCGA-BR-6802-01A	Primary Tumor	2.6522854366843593
TCGA-CG-4301-01A	Primary Tumor	2.80837774828888
TCGA-D7-8579-01A	Primary Tumor	2.721132511835939
TCGA-CG-5720-11A	Solid Tissue Normal	2.806887554414372
TCGA-D7-6525-01A	Primary Tumor	2.483488442498476
TCGA-VQ-A8DT-01A	Primary Tumor	2.875537886258189
TCGA-HU-A4GX-01A	Primary Tumor	2.7473881388389167
TCGA-BR-A44U-01A	Primary Tumor	1.9698951945069356
TCGA-VQ-A927-01A	Primary Tumor	2.8749230841681537
TCGA-IN-7806-11A	Solid Tissue Normal	1.3862943611198906
TCGA-D7-6520-01A	Primary Tumor	2.3240281248940513
TCGA-VQ-AA6I-01A	Primary Tumor	2.898904937991901
TCGA-VQ-A91V-01A	Primary Tumor	2.7954944623685964
TCGA-D7-8578-01A	Primary Tumor	2.6605438369277135
TCGA-VQ-A91X-01A	Primary Tumor	2.4306547914301544
TCGA-BR-A4J9-01A	Primary Tumor	2.5389038708448566
TCGA-BR-4366-01A	Primary Tumor	2.809425439266976
TCGA-BR-8371-01A	Primary Tumor	2.65508966875539
TCGA-VQ-A8PK-01A	Primary Tumor	2.72551170189238
TCGA-VQ-A8PH-01A	Primary Tumor	2.5414999935202354
TCGA-VQ-AA6D-01A	Primary Tumor	2.6521435081620894
TCGA-CG-5721-01A	Primary Tumor	2.2898487401472933
TCGA-BR-8365-01A	Primary Tumor	2.728643560521383
TCGA-HF-7133-01A	Primary Tumor	2.834515498572362
TCGA-HU-A4GY-01A	Primary Tumor	2.606601225869837
TCGA-KB-A93J-01A	Primary Tumor	2.9297199899690667
TCGA-HF-7136-01A	Primary Tumor	2.500955610070927
TCGA-B7-A5TI-01A	Primary Tumor	2.8280718659118547
TCGA-D7-A4YT-01A	Primary Tumor	2.6776423177562885
TCGA-BR-8295-01A	Primary Tumor	2.7761434178277944
TCGA-CD-8527-01A	Primary Tumor	2.464481979859576
TCGA-BR-6456-01A	Primary Tumor	2.471349843124886
TCGA-CD-A4MH-01A	Primary Tumor	2.5709684690870964
TCGA-VQ-A8P5-01A	Primary Tumor	2.723622713384495
TCGA-KB-A6F7-01A	Primary Tumor	2.839617413070663
TCGA-RD-A8N0-01A	Primary Tumor	2.8450584356638773
TCGA-BR-8060-11A	Solid Tissue Normal	2.7774171485382646
TCGA-BR-A453-01A	Primary Tumor	2.350407928541425
TCGA-RD-A8N4-01A	Primary Tumor	2.3772088733445247
TCGA-IN-A6RJ-01A	Primary Tumor	2.407359324641777
TCGA-CG-5716-01A	Primary Tumor	2.8845429108978884
TCGA-EQ-A4SO-01A	Primary Tumor	2.920907118724517
TCGA-BR-7703-01A	Primary Tumor	2.739876628634665
TCGA-BR-7704-01A	Primary Tumor	2.6772780361756974
TCGA-HF-A5NB-01A	Primary Tumor	2.7058568760331823
TCGA-BR-4370-01A	Primary Tumor	2.5592636857570077
TCGA-BR-7704-11A	Solid Tissue Normal	2.8182794067685153
TCGA-CG-4442-01A	Primary Tumor	2.7821154581028242
TCGA-CD-5804-01A	Primary Tumor	2.814986016881727
TCGA-VQ-A94U-01A	Primary Tumor	2.762023829592534
TCGA-D7-5578-01A	Primary Tumor	2.5623139096147227
TCGA-FP-8210-01A	Primary Tumor	2.66638637312475
TCGA-BR-A4QL-01A	Primary Tumor	2.2294358187155683
TCGA-BR-6706-01A	Primary Tumor	2.8075403539027413
TCGA-BR-4294-01A	Primary Tumor	2.4554734287479025
TCGA-D7-6818-01A	Primary Tumor	2.811761319565198
TCGA-VQ-A94R-01A	Primary Tumor	2.808367113156773
TCGA-R5-A7ZF-01A	Primary Tumor	2.1726312605228344
TCGA-BR-A4IY-01A	Primary Tumor	1.9858726500464845
TCGA-BR-A4IU-01A	Primary Tumor	2.7293906910287564
TCGA-BR-7901-01A	Primary Tumor	2.885175097083603
TCGA-BR-8367-01A	Primary Tumor	2.7850998041374755
TCGA-HU-A4GU-01A	Primary Tumor	1.7678050041407318
TCGA-CD-8536-01A	Primary Tumor	2.7915740400635256
TCGA-R5-A7ZI-01A	Primary Tumor	2.723583428848792
TCGA-RD-A7BW-01A	Primary Tumor	2.505791744908122
TCGA-BR-8676-01A	Primary Tumor	2.7991344875090585
TCGA-IN-A6RS-01A	Primary Tumor	2.2289405815570174
TCGA-BR-8486-01A	Primary Tumor	2.516512156761221
TCGA-D7-A748-01A	Primary Tumor	2.6251285028164633
TCGA-VQ-A8E2-01A	Primary Tumor	2.2504338618766018
TCGA-CD-A486-01A	Primary Tumor	2.7205952676963703
TCGA-CD-8533-01A	Primary Tumor	2.7079268372569616
TCGA-VQ-A924-01A	Primary Tumor	2.440499209143809
TCGA-3M-AB46-01A	Primary Tumor	2.4346225817507037
TCGA-VQ-A8PU-01A	Primary Tumor	2.9077024733900667
TCGA-F1-A448-01A	Primary Tumor	2.748456122888367
TCGA-HU-A4H5-01A	Primary Tumor	2.532875138896728
TCGA-CD-A4MI-01A	Primary Tumor	2.6528726608188977
TCGA-IN-A6RN-01A	Primary Tumor	2.800621943443123
TCGA-VQ-A91Z-01A	Primary Tumor	2.163373566698386
TCGA-MX-A666-01A	Primary Tumor	2.559750008031225
TCGA-BR-8080-01A	Primary Tumor	2.600608201224406
TCGA-IN-A6RL-01A	Primary Tumor	2.886711300439437
TCGA-BR-4257-01A	Primary Tumor	2.8035357561336287
TCGA-IN-AB1V-11A	Solid Tissue Normal	1.9491004564696455
TCGA-BR-6565-01A	Primary Tumor	2.667788072044331
TCGA-KB-A93H-01A	Primary Tumor	2.4514773588263665
TCGA-BR-6707-01A	Primary Tumor	2.8449605134853035
TCGA-BR-8483-01A	Primary Tumor	1.697344685187443
TCGA-D7-A4Z0-01A	Primary Tumor	2.7248511282488583
TCGA-CD-5798-01A	Primary Tumor	2.746415670178097
TCGA-VQ-A94O-01A	Primary Tumor	2.517465785217249
TCGA-BR-8382-01A	Primary Tumor	2.60790327760615
TCGA-CG-5732-01A	Primary Tumor	2.8265543400948525
TCGA-D7-8573-01A	Primary Tumor	2.888426402990051
TCGA-VQ-A8PX-01A	Primary Tumor	2.9807668512427807
TCGA-VQ-A94T-01A	Primary Tumor	2.078026126298446
TCGA-BR-8677-01A	Primary Tumor	2.5689328478875595
TCGA-BR-A4J1-01A	Primary Tumor	2.8430053004854563
TCGA-VQ-A8E3-01A	Primary Tumor	2.730852220909841
TCGA-MX-A663-01A	Primary Tumor	2.6882452611619643
TCGA-CG-4462-01A	Primary Tumor	2.7933446216624986
TCGA-BR-8078-01A	Primary Tumor	2.529242340053719
TCGA-VQ-AA6A-01A	Primary Tumor	2.970236503042382
TCGA-CD-5800-01A	Primary Tumor	2.2753494503219667
TCGA-VQ-A8E0-01A	Primary Tumor	2.9028103095483324
TCGA-CD-8531-01A	Primary Tumor	1.9141776295628004
TCGA-CG-5722-11A	Solid Tissue Normal	2.8201587482446935
TCGA-BR-8369-01A	Primary Tumor	2.8113474093597333
TCGA-BR-4369-01A	Primary Tumor	2.3318444530168834
TCGA-IN-A7NR-01A	Primary Tumor	2.6599033816089612
TCGA-FP-A8CX-01A	Primary Tumor	2.858682239350805
TCGA-BR-8077-01A	Primary Tumor	2.6243815661077137
TCGA-ZQ-A9CR-01A	Primary Tumor	2.767610033460288
TCGA-BR-6802-11A	Solid Tissue Normal	2.8198416983450376
TCGA-CG-4438-01A	Primary Tumor	2.4885993333785503
TCGA-BR-4267-01A	Primary Tumor	3.015510958851096
TCGA-CD-8526-01A	Primary Tumor	2.4568499265060266
TCGA-HF-7132-01A	Primary Tumor	2.819017893187542
TCGA-RD-A8N9-01A	Primary Tumor	2.79648058160664
TCGA-D7-6522-01A	Primary Tumor	2.5961923155335804
TCGA-VQ-AA6G-01A	Primary Tumor	2.839978009650339
TCGA-VQ-A94P-01A	Primary Tumor	2.5025094916530657
TCGA-CG-4304-01A	Primary Tumor	2.694126174811048
TCGA-VQ-AA6J-01A	Primary Tumor	2.903840411327354
TCGA-VQ-A8PF-01A	Primary Tumor	2.933857674561042
TCGA-BR-8284-01A	Primary Tumor	2.8975018279175164
TCGA-HU-A4GD-01A	Primary Tumor	2.4166487187322088
TCGA-BR-8680-01A	Primary Tumor	1.2005453658296201
TCGA-VQ-A92D-01A	Primary Tumor	2.9038831893928974
TCGA-BR-8588-01A	Primary Tumor	2.6481240143730216
TCGA-BR-6453-11A	Solid Tissue Normal	2.767235167356346
TCGA-BR-6453-01A	Primary Tumor	2.5186670107245104
TCGA-HU-8238-11A	Solid Tissue Normal	2.7221372007271065
TCGA-BR-8381-01A	Primary Tumor	2.740249583632878
TCGA-BR-7959-01A	Primary Tumor	2.8054114402898622
TCGA-D7-A6F0-01A	Primary Tumor	2.389944598534312
TCGA-BR-6563-01A	Primary Tumor	2.6192146244325145
TCGA-BR-8380-01A	Primary Tumor	2.0941997359063795
TCGA-VQ-A8PM-01A	Primary Tumor	2.7884340807569785
TCGA-BR-8362-01A	Primary Tumor	2.489164981951111
TCGA-BR-4371-01A	Primary Tumor	1.8550968666143979
TCGA-CD-5799-01A	Primary Tumor	2.8767034330184984
TCGA-HU-A4GP-11A	Solid Tissue Normal	2.3696348605766966
TCGA-RD-A7C1-01A	Primary Tumor	2.790894493939733
TCGA-HU-A4GP-01A	Primary Tumor	2.8611576020318603
TCGA-VQ-A91N-01A	Primary Tumor	2.75028694470278
TCGA-BR-7716-01A	Primary Tumor	2.626561814451563
TCGA-BR-A4IZ-01A	Primary Tumor	2.735431988660229
TCGA-IN-8663-11A	Solid Tissue Normal	1.0986122886681098
TCGA-BR-4367-01A	Primary Tumor	2.8522573661211266
